Patron_Name,Card_Number,Patron_Email,Books_Checked_Out,Book_1,Due_Date1,Book_2,Due_Date2,Book_3,Due_Date3,Book_4,Due_Date4,Book_5,Due_Date5
"Koushaku Chouno",0,Papi_Papillon@fakemail.net,5,"To Kill a MockingBird",12/17/2018,"Pride and Predjudice",12/6/18,"The Diary of Anne Frank",11/1/18,1984,11/14/18,"Harry Potter",11/22/18
"James McDougal",18888888,jm89@fakemail.net,4,"Bobo the Angsty Zebra",11/7/2018,"The Lusty Argonian Maid",12/16/18,Book1,11/15/18,Book2,11/21/18,NULL,
"Martin Reid",12888888,MReid@fakemail.net,3,Book3,10/28/2018,Book4,12/14/18,Book5,11/17/18,NULL,,NULL,
"Jacob Nicholson",12388888,jn795@fakemail.net,2,Book6,11/14/2018,"Book 7",12/12/18,NULL,,NULL,,NULL,
"Jam Kuradoberi",12348888,BabelNose@fakemail.net,1,Book8,11/27/2018,NULL,,NULL,,NULL,,NULL,
"Randy Manning",12345888,RandomMan@fakemail.net,1,Book9,11/23/2018,NULL,,NULL,,NULL,,NULL,
"Nick Nixon",12345688,irrelevantdude@fakemail.net,1,Book10,11/13/2018,NULL,,NULL,,NULL,,NULL,
"Peter Parker",12345678,TotallyNotSpiderMan@fakemail.net,1,Book11,11/26/2018,NULL,,NULL,,NULL,,NULL,
"Jotaro Joestar",11111111,StarPlatinum@fakemail.net,1,Book12,11/22/2018,NULL,,NULL,,NULL,,NULL,
"Koushaku Chono",11111112,kcho1@fakemail.net,1,Book13,11/18/2018,NULL,,NULL,,NULL,,NULL,
"Koushaku Chuno",11111113,kcho2@fakemail.net,1,Book14,10/19/2018,NULL,,NULL,,NULL,,NULL,
"Koushaku Ouno",11111114,kcho3@fakemail.net,1,Book15,12/15/2018,NULL,,NULL,,NULL,,NULL,
"Koushaku Choun",11111115,kcho4@fakemail.net,1,Book16,10/11/2018,NULL,,NULL,,NULL,,NULL,
"Koushaku Chou",11111116,kcho5@fakemail.net,1,Book17,11/23/2018,NULL,,NULL,,NULL,,NULL,
"Koushaku Cho",11111117,kcho6@fakemail.net,1,Book18,11/12/2018,NULL,,NULL,,NULL,,NULL,
"Koushaku Ou",11111118,kcho7@fakemail.net,1,Book19,10/11/2018,NULL,,NULL,,NULL,,NULL,
"Koushaku Chun",11111119,kcho8@fakemail.net,1,Book20,11/10/2018,NULL,,NULL,,NULL,,NULL,
"Kousha Chouno",11111110,kcho9@fakemail.net,1,Book21,11/12/2018,NULL,,NULL,,NULL,,NULL,
"Kouku Chouno",11111121,kcho10@fakemail.net,1,Book22,12/17/2018,NULL,,NULL,,NULL,,NULL,
"Koku Chouno",11111131,kcho11@fakemail.net,1,Book23,11/2/2018,NULL,,NULL,,NULL,,NULL,
"Kousha Choun",11111141,kcho12@fakemail.net,1,Book24,11/26/2018,NULL,,NULL,,NULL,,NULL,
"Kousha Chono",11111151,kcho13@fakemail.net,1,Book25,11/21/2018,NULL,,NULL,,NULL,,NULL,
"Kousha Chou",11111161,kcho14@fakemail.net,1,Book26,12/19/2018,NULL,,NULL,,NULL,,NULL,
"Kousha Cho",11111171,kcho15@fakemail.net,1,Book27,12/24/2018,NULL,,NULL,,NULL,,NULL,
"Kousha Chouo",11111181,kcho16@fakemail.net,1,Book28,10/29/2018,NULL,,NULL,,NULL,,NULL,
"Kouku Chou",11111191,kcho17@fakemail.net,1,Book29,11/10/2018,NULL,,NULL,,NULL,,NULL,
"Kouku Chouno",11111101,kcho18@fakemail.net,1,Book30,11/3/2018,NULL,,NULL,,NULL,,NULL,
"Shaku Chouno",12443243,kcho20@fakemail.net,1,Book31,12/8/2018,NULL,,NULL,,NULL,,NULL,
"Shaku Chuno",96645366,kcho22@fakemail.net,1,Book32,10/14/2018,NULL,,NULL,,NULL,,NULL,
